Invoice,Fruit,Price,qty,Total
4001,MuskMelon,35,34,1190
4002,Mango,180,28,5040
4003,Pears,130,28,3640
4004,Mango,180,47,8460
4005,CrustedApple,80,4,320
4006,WaterMelon,35,35,1225
4007,Orange,85,39,3315
4008,Grapes,120,16,1920
4009,Grapes,120,17,2040
4010,Mango,180,38,6840
4011,Pineapple,70,25,1750
4012,Pears,130,22,2860
4013,Grapes,120,42,5040
4014,Mango,180,35,6300
4015,Mango,180,2,360
4016,Orange,85,29,2465
4017,Mango,180,14,2520
4018,Orange,85,40,3400
4019,Mango,180,17,3060
4020,Grapes,120,46,5520
4021,Mango,180,28,5040
4022,Grapes,120,9,1080
4023,Apple,220,24,5280
4024,Pineapple,70,12,840
4025,Avacado,140,38,5320
4026,Pears,130,39,5070
4027,Banana,55,31,1705
4028,Banana,55,46,2530
4029,Mango,180,6,1080
4030,Apple,220,8,1760
4031,Pears,130,26,3380
4032,Gauva,40,34,1360
4033,CrustedApple,80,27,2160
4034,Avacado,140,8,1120
4035,Orange,85,23,1955
4036,Pineapple,70,43,3010
4037,Grapes,120,24,2880
4038,CrustedApple,80,4,320
4039,Mango,180,17,3060
4040,Pears,130,48,6240
4041,Grapes,120,11,1320
4042,MuskMelon,35,36,1260
4043,Grapes,120,29,3480
4044,Banana,55,44,2420
4045,Orange,85,26,2210
4046,Gauva,40,20,800
4047,Mango,180,12,2160
4048,MuskMelon,35,46,1610
4049,MuskMelon,35,50,1750
4050,MuskMelon,35,8,280
4051,Avacado,140,20,2800
4052,Pineapple,70,27,1890
4053,MuskMelon,35,47,1645
4054,Pineapple,70,38,2660
4055,Mango,180,15,2700
4056,Pineapple,70,43,3010
4057,MuskMelon,35,30,1050
4058,Avacado,140,49,6860
4059,CrustedApple,80,39,3120
4060,Mango,180,43,7740
4061,CrustedApple,80,23,1840
4062,Apple,220,28,6160
4063,CrustedApple,80,27,2160
4064,Orange,85,7,595
4065,Banana,55,38,2090
4066,Mango,180,22,3960
4067,Mango,180,16,2880
4068,WaterMelon,35,32,1120
4069,Apple,220,48,10560
4070,MuskMelon,35,17,595
4071,CrustedApple,80,7,560
4072,Pears,130,35,4550
4073,Gauva,40,41,1640
4074,CrustedApple,80,4,320
4075,Gauva,40,36,1440
4076,WaterMelon,35,26,910
4077,Gauva,40,46,1840
4078,WaterMelon,35,13,455
4079,Pineapple,70,41,2870
4080,Pears,130,25,3250
4081,WaterMelon,35,33,1155
4082,Avacado,140,7,980
4083,Grapes,120,50,6000
4084,Banana,55,20,1100
4085,Grapes,120,20,2400
4086,Avacado,140,39,5460
4087,MuskMelon,35,42,1470
4088,Avacado,140,14,1960
4089,Mango,180,50,9000
4090,Mango,180,14,2520
4091,WaterMelon,35,22,770
4092,Orange,85,4,340
4093,Apple,220,27,5940
4094,Gauva,40,11,440
4095,Avacado,140,49,6860
4096,Orange,85,46,3910
4097,Pineapple,70,8,560
4098,Apple,220,48,10560
4099,MuskMelon,35,27,945
4100,Orange,85,33,2805
4101,Apple,220,47,10340
4102,Mango,180,8,1440
4103,Mango,180,23,4140
4104,Banana,55,1,55
4105,MuskMelon,35,8,280
4106,Grapes,120,42,5040
4107,MuskMelon,35,1,35
4108,Banana,55,20,1100
4109,Grapes,120,20,2400
4110,Avacado,140,1,140
4111,Orange,85,48,4080
4112,Orange,85,28,2380
4113,Pineapple,70,1,70
4114,Apple,220,20,4400
4115,Orange,85,34,2890
4116,MuskMelon,35,48,1680
4117,CrustedApple,80,40,3200
4118,MuskMelon,35,11,385
4119,CrustedApple,80,29,2320
4120,WaterMelon,35,18,630
4121,Pineapple,70,10,700
4122,CrustedApple,80,47,3760
4123,CrustedApple,80,6,480
4124,Avacado,140,10,1400
4125,Mango,180,21,3780
4126,Grapes,120,50,6000
4127,MuskMelon,35,32,1120
4128,Avacado,140,45,6300
4129,Apple,220,42,9240
4130,Grapes,120,32,3840
4131,CrustedApple,80,35,2800
4132,MuskMelon,35,10,350
4133,WaterMelon,35,26,910
4134,WaterMelon,35,29,1015
4135,CrustedApple,80,13,1040
4136,Grapes,120,35,4200
4137,Gauva,40,41,1640
4138,Pineapple,70,30,2100
4139,Grapes,120,35,4200
4140,WaterMelon,35,29,1015
4141,MuskMelon,35,32,1120
4142,Mango,180,23,4140
4143,Pears,130,26,3380
4144,CrustedApple,80,49,3920
4145,MuskMelon,35,45,1575
4146,Mango,180,45,8100
4147,Orange,85,46,3910
4148,CrustedApple,80,4,320
4149,Gauva,40,36,1440
4150,Apple,220,49,10780
4151,Avacado,140,9,1260
4152,Banana,55,30,1650
4153,Banana,55,27,1485
4154,Grapes,120,4,480
4155,Banana,55,7,385
4156,Banana,55,16,880
4157,Mango,180,11,1980
4158,Apple,220,35,7700
4159,Pears,130,50,6500
4160,Apple,220,15,3300
4161,CrustedApple,80,44,3520
4162,Orange,85,39,3315
4163,WaterMelon,35,8,280
4164,Pineapple,70,47,3290
4165,Pineapple,70,43,3010
4166,Apple,220,47,10340
4167,Avacado,140,1,140
4168,Grapes,120,21,2520
4169,Banana,55,16,880
4170,Banana,55,46,2530
4171,Avacado,140,41,5740
4172,Grapes,120,10,1200
4173,MuskMelon,35,20,700
4174,Grapes,120,21,2520
4175,Grapes,120,13,1560
4176,Gauva,40,9,360
4177,Orange,85,7,595
4178,Pineapple,70,3,210
4179,CrustedApple,80,32,2560
4180,Orange,85,13,1105
4181,Banana,55,22,1210
4182,Gauva,40,42,1680
4183,MuskMelon,35,42,1470
4184,CrustedApple,80,49,3920
4185,Apple,220,40,8800
4186,Banana,55,38,2090
4187,Pears,130,22,2860
4188,Banana,55,23,1265
4189,Pears,130,25,3250
4190,Pears,130,1,130
4191,Gauva,40,9,360
4192,Gauva,40,47,1880
4193,CrustedApple,80,43,3440
4194,Avacado,140,27,3780
4195,Avacado,140,9,1260
4196,Avacado,140,18,2520
4197,Avacado,140,28,3920
4198,Mango,180,49,8820
4199,Gauva,40,15,600
4200,Pears,130,30,3900
4201,Orange,85,46,3910
4202,MuskMelon,35,35,1225
4203,MuskMelon,35,18,630
4204,Avacado,140,29,4060
4205,Banana,55,46,2530
4206,Orange,85,42,3570
4207,WaterMelon,35,33,1155
4208,MuskMelon,35,12,420
4209,CrustedApple,80,50,4000
4210,WaterMelon,35,41,1435
4211,Pineapple,70,27,1890
4212,Pears,130,40,5200
4213,WaterMelon,35,23,805
4214,Pears,130,50,6500
4215,Banana,55,12,660
4216,CrustedApple,80,47,3760
4217,Pears,130,21,2730
4218,Avacado,140,27,3780
4219,Mango,180,30,5400
4220,Pineapple,70,43,3010
4221,Banana,55,30,1650
4222,Pears,130,13,1690
4223,Orange,85,48,4080
4224,Pineapple,70,37,2590
4225,Orange,85,30,2550
4226,Pineapple,70,18,1260
4227,Apple,220,10,2200
4228,Orange,85,49,4165
4229,Gauva,40,45,1800
4230,Grapes,120,10,1200
4231,Avacado,140,22,3080
4232,MuskMelon,35,21,735
4233,Apple,220,7,1540
4234,Avacado,140,32,4480
4235,Gauva,40,45,1800
4236,Gauva,40,11,440
4237,Grapes,120,27,3240
4238,WaterMelon,35,12,420
4239,Avacado,140,11,1540
4240,Gauva,40,32,1280
4241,Avacado,140,21,2940
4242,WaterMelon,35,27,945
4243,WaterMelon,35,23,805
4244,Banana,55,30,1650
4245,Mango,180,30,5400
4246,Pears,130,3,390
4247,Orange,85,26,2210
4248,CrustedApple,80,31,2480
4249,Banana,55,11,605
4250,Apple,220,47,10340
4251,MuskMelon,35,50,1750
4252,Grapes,120,32,3840
4253,Pears,130,2,260
4254,Orange,85,39,3315
4255,WaterMelon,35,25,875
4256,Gauva,40,26,1040
4257,Banana,55,47,2585
4258,Pineapple,70,28,1960
4259,Pears,130,26,3380
4260,WaterMelon,35,38,1330
4261,Apple,220,48,10560
4262,Gauva,40,28,1120
4263,Apple,220,47,10340
4264,Banana,55,49,2695
4265,WaterMelon,35,9,315
4266,Banana,55,3,165
4267,CrustedApple,80,29,2320
4268,Pineapple,70,16,1120
4269,Gauva,40,11,440
4270,Orange,85,13,1105
4271,Mango,180,40,7200
4272,Grapes,120,38,4560
4273,WaterMelon,35,27,945
4274,MuskMelon,35,16,560
4275,MuskMelon,35,40,1400
4276,Pineapple,70,28,1960
4277,Mango,180,27,4860
4278,Mango,180,7,1260
4279,Avacado,140,32,4480
4280,CrustedApple,80,37,2960
