Invoice,Fruit,Price,qty,Total
5001,Mango,180,16,2880
5002,CrustedApple,80,19,1520
5003,Gauva,40,40,1600
5004,Gauva,40,31,1240
5005,WaterMelon,35,7,245
5006,Gauva,40,12,480
5007,Pears,130,2,260
5008,Orange,85,10,850
5009,Gauva,40,4,160
5010,Orange,85,13,1105
5011,Avacado,140,22,3080
5012,Pears,130,7,910
5013,Grapes,120,1,120
5014,Pineapple,70,20,1400
5015,Apple,220,6,1320
5016,Avacado,140,23,3220
5017,Pineapple,70,43,3010
5018,MuskMelon,35,2,70
5019,Orange,85,21,1785
5020,Gauva,40,31,1240
5021,Gauva,40,1,40
5022,Gauva,40,50,2000
5023,Orange,85,18,1530
5024,Grapes,120,33,3960
5025,Avacado,140,10,1400
5026,Pineapple,70,24,1680
5027,CrustedApple,80,50,4000
5028,Mango,180,16,2880
5029,MuskMelon,35,50,1750
5030,Avacado,140,39,5460
5031,Mango,180,3,540
5032,Pears,130,2,260
5033,Banana,55,27,1485
5034,Mango,180,5,900
5035,Pineapple,70,42,2940
5036,Apple,220,41,9020
5037,Pears,130,38,4940
5038,CrustedApple,80,41,3280
5039,MuskMelon,35,5,175
5040,Gauva,40,4,160
5041,Avacado,140,1,140
5042,Orange,85,39,3315
5043,CrustedApple,80,15,1200
5044,Grapes,120,34,4080
5045,Avacado,140,21,2940
5046,Orange,85,21,1785
5047,Apple,220,45,9900
5048,Apple,220,50,11000
5049,Orange,85,13,1105
5050,Apple,220,27,5940
5051,Pineapple,70,22,1540
5052,Mango,180,39,7020
5053,Banana,55,24,1320
5054,WaterMelon,35,2,70
5055,WaterMelon,35,23,805
5056,Orange,85,41,3485
5057,Banana,55,19,1045
5058,WaterMelon,35,49,1715
5059,Mango,180,3,540
5060,Banana,55,30,1650
5061,Banana,55,16,880
5062,Gauva,40,24,960
5063,Apple,220,50,11000
5064,Mango,180,40,7200
5065,Apple,220,28,6160
5066,Mango,180,8,1440
5067,Grapes,120,30,3600
5068,MuskMelon,35,6,210
5069,CrustedApple,80,16,1280
5070,Orange,85,24,2040
5071,Pineapple,70,31,2170
5072,Pears,130,31,4030
5073,MuskMelon,35,8,280
5074,Gauva,40,18,720
5075,MuskMelon,35,46,1610
5076,CrustedApple,80,28,2240
5077,WaterMelon,35,44,1540
5078,Gauva,40,36,1440
5079,Gauva,40,41,1640
5080,Banana,55,24,1320
5081,Pears,130,24,3120
5082,Avacado,140,15,2100
5083,MuskMelon,35,37,1295
5084,WaterMelon,35,42,1470
5085,Mango,180,18,3240
5086,MuskMelon,35,1,35
5087,MuskMelon,35,47,1645
5088,Apple,220,16,3520
5089,Mango,180,1,180
5090,Pears,130,3,390
5091,WaterMelon,35,32,1120
5092,Avacado,140,12,1680
5093,Orange,85,6,510
5094,Pears,130,16,2080
5095,Pears,130,7,910
5096,Apple,220,4,880
5097,MuskMelon,35,50,1750
5098,Mango,180,34,6120
5099,Orange,85,1,85
5100,Pears,130,28,3640
5101,Orange,85,47,3995
5102,Banana,55,3,165
5103,Orange,85,45,3825
5104,Banana,55,50,2750
5105,Avacado,140,4,560
5106,WaterMelon,35,22,770
5107,Apple,220,17,3740
5108,Banana,55,19,1045
5109,Pineapple,70,43,3010
5110,Apple,220,36,7920
5111,Mango,180,45,8100
5112,Apple,220,33,7260
5113,Pineapple,70,4,280
5114,WaterMelon,35,39,1365
5115,WaterMelon,35,32,1120
5116,Banana,55,3,165
5117,Grapes,120,5,600
5118,Pears,130,27,3510
5119,WaterMelon,35,33,1155
5120,Gauva,40,45,1800
5121,Gauva,40,1,40
5122,Grapes,120,16,1920
5123,Grapes,120,30,3600
5124,Mango,180,15,2700
5125,WaterMelon,35,1,35
5126,Mango,180,38,6840
5127,Gauva,40,10,400
5128,CrustedApple,80,46,3680
5129,Pineapple,70,8,560
5130,Grapes,120,38,4560
5131,WaterMelon,35,39,1365
5132,CrustedApple,80,46,3680
5133,Banana,55,3,165
5134,Gauva,40,15,600
5135,Mango,180,1,180
5136,Apple,220,15,3300
5137,Gauva,40,41,1640
5138,Mango,180,40,7200
5139,CrustedApple,80,19,1520
5140,WaterMelon,35,29,1015
5141,MuskMelon,35,13,455
5142,Mango,180,31,5580
5143,Pears,130,10,1300
5144,WaterMelon,35,15,525
5145,Pears,130,50,6500
5146,Mango,180,19,3420
5147,Orange,85,2,170
5148,Avacado,140,29,4060
5149,Mango,180,19,3420
5150,MuskMelon,35,41,1435
5151,WaterMelon,35,12,420
5152,Mango,180,20,3600
5153,WaterMelon,35,16,560
5154,Pears,130,4,520
5155,Avacado,140,27,3780
5156,Mango,180,22,3960
5157,Apple,220,4,880
5158,Avacado,140,22,3080
5159,Pineapple,70,16,1120
5160,Orange,85,28,2380
5161,Gauva,40,23,920
5162,Banana,55,50,2750
5163,Pears,130,47,6110
5164,Orange,85,14,1190
5165,Gauva,40,36,1440
5166,CrustedApple,80,33,2640
5167,Grapes,120,2,240
5168,Pineapple,70,23,1610
5169,Avacado,140,23,3220
5170,Orange,85,27,2295
5171,Banana,55,7,385
5172,Grapes,120,35,4200
5173,Pineapple,70,37,2590
5174,WaterMelon,35,44,1540
5175,Pears,130,39,5070
5176,Mango,180,33,5940
5177,Grapes,120,37,4440
5178,Pineapple,70,44,3080
5179,MuskMelon,35,16,560
5180,CrustedApple,80,23,1840
5181,CrustedApple,80,47,3760
5182,MuskMelon,35,13,455
5183,WaterMelon,35,11,385
5184,Apple,220,20,4400
5185,Mango,180,31,5580
5186,Pears,130,33,4290
5187,Banana,55,13,715
5188,Pears,130,35,4550
5189,Orange,85,39,3315
