Invoice,Fruit,Price,qty,Total
2001,Pineapple,70,18,1260
2002,Pineapple,70,6,420
2003,WaterMelon,35,42,1470
2004,Gauva,40,30,1200
2005,Avacado,140,45,6300
2006,Pineapple,70,48,3360
2007,Mango,180,36,6480
2008,Pineapple,70,26,1820
2009,Avacado,140,16,2240
2010,WaterMelon,35,48,1680
2011,Avacado,140,43,6020
2012,Grapes,120,39,4680
2013,Pears,130,32,4160
2014,CrustedApple,80,6,480
2015,Grapes,120,26,3120
2016,Gauva,40,8,320
2017,Banana,55,46,2530
2018,Orange,85,17,1445
2019,CrustedApple,80,32,2560
2020,CrustedApple,80,11,880
2021,Pineapple,70,29,2030
2022,CrustedApple,80,15,1200
2023,CrustedApple,80,45,3600
2024,CrustedApple,80,37,2960
2025,Pears,130,29,3770
2026,WaterMelon,35,8,280
2027,Avacado,140,37,5180
2028,Mango,180,43,7740
2029,Gauva,40,38,1520
2030,Apple,220,19,4180
2031,Avacado,140,3,420
2032,MuskMelon,35,29,1015
2033,Apple,220,17,3740
2034,Avacado,140,25,3500
2035,WaterMelon,35,26,910
2036,Orange,85,2,170
2037,Gauva,40,1,40
2038,Avacado,140,39,5460
2039,Apple,220,38,8360
2040,CrustedApple,80,20,1600
2041,Pears,130,46,5980
2042,Orange,85,9,765
2043,Gauva,40,10,400
2044,Orange,85,38,3230
2045,Grapes,120,7,840
2046,Gauva,40,10,400
2047,Banana,55,8,440
2048,Apple,220,11,2420
2049,Gauva,40,9,360
2050,Gauva,40,10,400
2051,Orange,85,33,2805
2052,Gauva,40,35,1400
2053,Pineapple,70,40,2800
2054,Grapes,120,16,1920
2055,Grapes,120,8,960
2056,WaterMelon,35,40,1400
2057,Orange,85,48,4080
2058,Orange,85,22,1870
2059,Orange,85,2,170
2060,Banana,55,24,1320
2061,Gauva,40,44,1760
2062,CrustedApple,80,47,3760
2063,Avacado,140,15,2100
2064,Orange,85,26,2210
2065,Mango,180,15,2700
2066,Apple,220,20,4400
2067,MuskMelon,35,39,1365
2068,Gauva,40,18,720
2069,Mango,180,3,540
2070,Orange,85,8,680
2071,MuskMelon,35,38,1330
2072,Grapes,120,45,5400
2073,Apple,220,44,9680
2074,CrustedApple,80,22,1760
2075,CrustedApple,80,13,1040
2076,MuskMelon,35,40,1400
2077,Banana,55,3,165
2078,Avacado,140,16,2240
2079,WaterMelon,35,35,1225
2080,Apple,220,40,8800
2081,CrustedApple,80,42,3360
2082,Apple,220,39,8580
2083,WaterMelon,35,5,175
2084,Gauva,40,9,360
2085,Apple,220,31,6820
2086,Banana,55,29,1595
2087,Pears,130,4,520
2088,Grapes,120,47,5640
2089,Orange,85,11,935
2090,Banana,55,7,385
2091,Grapes,120,36,4320
2092,Gauva,40,21,840
2093,Banana,55,14,770
2094,Mango,180,12,2160
2095,Gauva,40,48,1920
2096,Mango,180,38,6840
2097,Banana,55,22,1210
2098,Mango,180,22,3960
2099,Orange,85,50,4250
2100,Grapes,120,27,3240
2101,Gauva,40,5,200
2102,Avacado,140,32,4480
2103,CrustedApple,80,33,2640
2104,Pears,130,15,1950
2105,WaterMelon,35,49,1715
2106,Orange,85,41,3485
2107,Mango,180,6,1080
2108,Apple,220,25,5500
2109,MuskMelon,35,1,35
2110,Pineapple,70,36,2520
2111,Banana,55,35,1925
2112,Mango,180,46,8280
2113,Pears,130,9,1170
2114,Avacado,140,43,6020
2115,Grapes,120,30,3600
2116,Apple,220,18,3960
2117,Pears,130,49,6370
2118,MuskMelon,35,14,490
2119,CrustedApple,80,18,1440
2120,Avacado,140,49,6860
2121,Mango,180,37,6660
2122,Pineapple,70,36,2520
2123,Banana,55,6,330
2124,Grapes,120,1,120
2125,Mango,180,16,2880
2126,MuskMelon,35,48,1680
2127,Mango,180,28,5040
2128,Gauva,40,6,240
2129,Grapes,120,19,2280
2130,Pears,130,11,1430
2131,Apple,220,46,10120
2132,Apple,220,34,7480
2133,Mango,180,11,1980
2134,Mango,180,31,5580
2135,Pineapple,70,13,910
2136,Avacado,140,21,2940
2137,Mango,180,36,6480
2138,Grapes,120,15,1800
2139,MuskMelon,35,42,1470
2140,Banana,55,26,1430
2141,Mango,180,4,720
2142,Mango,180,46,8280
2143,WaterMelon,35,45,1575
2144,Avacado,140,8,1120
2145,Grapes,120,49,5880
2146,Pineapple,70,6,420
2147,MuskMelon,35,31,1085
2148,WaterMelon,35,16,560
2149,Gauva,40,6,240
2150,Pineapple,70,32,2240
2151,CrustedApple,80,10,800
2152,Avacado,140,15,2100
2153,Banana,55,34,1870
2154,Grapes,120,15,1800
2155,Apple,220,32,7040
2156,MuskMelon,35,33,1155
2157,Banana,55,16,880
2158,Apple,220,5,1100
2159,Banana,55,35,1925
2160,Banana,55,39,2145
2161,Apple,220,15,3300
2162,Pears,130,44,5720
2163,MuskMelon,35,43,1505
2164,Pineapple,70,38,2660
2165,WaterMelon,35,28,980
2166,Mango,180,22,3960
2167,Apple,220,1,220
2168,Avacado,140,27,3780
2169,Apple,220,23,5060
2170,Pineapple,70,26,1820
2171,Grapes,120,43,5160
2172,Pears,130,32,4160
2173,Banana,55,12,660
2174,Orange,85,14,1190
2175,Gauva,40,49,1960
2176,Mango,180,39,7020
2177,Apple,220,41,9020
2178,Pears,130,18,2340
2179,Mango,180,27,4860
2180,Pears,130,12,1560
2181,Apple,220,30,6600
2182,Grapes,120,21,2520
2183,Pineapple,70,23,1610
2184,Pears,130,14,1820
2185,Orange,85,35,2975
2186,Orange,85,42,3570
2187,Mango,180,20,3600
2188,Orange,85,30,2550
2189,Gauva,40,15,600
2190,Avacado,140,7,980
2191,Banana,55,45,2475
2192,CrustedApple,80,23,1840
2193,WaterMelon,35,8,280
2194,Gauva,40,12,480
2195,Avacado,140,28,3920
2196,Gauva,40,25,1000
2197,Orange,85,33,2805
2198,Apple,220,33,7260
2199,Pears,130,23,2990
2200,Banana,55,11,605
